agente_1,agente_2,partidas,victorias_1,victorias_2,empates,win_rate_1,win_rate_2,turnos_promedio,hp_promedio_1,hp_promedio_2
Avanzado manual 4v4,Random 4v4,30,30,0,0,100.0,0.0,13.433333333333334,193.2,0.0
Minimax p2 4v4,Heuristico 4v4,30,8,22,0,26.666666666666668,73.33333333333333,12.233333333333333,28.466666666666665,108.93333333333334
