generacion,fitness,win_rate_manual,win_rate_heuristico,win_rate_random,pesos
1,0.46944444444444444,40.0,60.0,60.0,"{""hp"": 0.016813276641079587, ""vivos"": 0.1944493081754193, ""tipo"": 0.03132358812306504, ""velocidad"": 0.0406762556432016, ""amenaza"": 0.19035693365789155, ""ko"": 0.3707654190120545, ""riesgo"": 0.05551353698022941, ""calidad_activo"": 0.10010168176705901}"
2,0.4705555555555555,40.0,60.0,60.0,"{""hp"": 0.21479841673664604, ""vivos"": 0.21148564500869022, ""tipo"": 0.03346068285283748, ""velocidad"": 0.06674477728663432, ""amenaza"": 0.18912074379338262, ""ko"": 0.1699692877009496, ""riesgo"": 0.056830931876634405, ""calidad_activo"": 0.0575895147442254}"
3,0.4705555555555555,40.0,60.0,60.0,"{""hp"": 0.21479841673664604, ""vivos"": 0.21148564500869022, ""tipo"": 0.03346068285283748, ""velocidad"": 0.06674477728663432, ""amenaza"": 0.18912074379338262, ""ko"": 0.1699692877009496, ""riesgo"": 0.056830931876634405, ""calidad_activo"": 0.0575895147442254}"
