agente_1,agente_2,partidas,victorias_1,victorias_2,empates,win_rate_1,win_rate_2,turnos_promedio,hp_promedio_1,hp_promedio_2
Minimax p1,Random,20,16,4,0,80.0,20.0,10.35,112.75,15.35
Minimax p2,Random,20,16,4,0,80.0,20.0,10.25,129.45,12.9
Minimax p3,Random,20,17,3,0,85.0,15.0,9.95,127.25,13.5
